pos,row,outcome
WR,Dontayvion Wicks PHI,unresolved
WR,Jordan Whittington LAR,tier3_single
WR,Kyle Williams NE,unresolved
WR,Pat Bryant DEN,tier3_single
WR,Xavier Hutchinson HOU,tier3_single
WR,David Moore CAR,tier3_single
WR,Van Jefferson WAS,unresolved
WR,Parker Washington JAC,tier3_single
WR,Isaac TeSlaa DET,tier3_single
WR,Olamide Zaccheaus ATL,unresolved
WR,Adonai Mitchell NYJ,tier3_single
WR,Mack Hollins NE,unresolved
WR,Tyquan Thornton KC,unresolved
WR,Casey Washington ATL,tier3_single
WR,Elijah Moore PHI,unresolved
WR,Arian Smith NYJ,tier3_single
WR,Justin Watson HOU,tier3_single
WR,Ryan Miller NYG,tier3_single
WR,Jahan Dotson ATL,unresolved
WR,Skyy Moore GB,unresolved
WR,Jack Bech LV,unresolved
WR,Xavier Gipson NYG,tier3_single
WR,Tai Felton MIN,tier3_single
WR,Chimere Dike TEN,tier3_single
WR,Mitch Tinsley CIN,unresolved
WR,Cody White SEA,tier3_single
WR,Isaiah Bond CLE,tier3_single
WR,Kalif Raymond CHI,unresolved
WR,Jalin Hyatt NYG,tier3_single
WR,Devontez Walker BAL,tier3_single
WR,Tylan Wallace CLE,unresolved
WR,Luke McCaffrey WAS,tier3_single
WR,Tez Johnson TB,unresolved
WR,Kendrick Bourne ARI,unresolved
WR,Savion Williams GB,unresolved
WR,Mason Tipton NO,unresolved
WR,Brycen Tremayne CAR,tier3_single
WR,KeAndre Lambert-Smith LAC,tier3_single
WR,Charlie Jones CIN,tier3_single
WR,Jaylin Lane WAS,tier3_single
WR,Derius Davis LAC,tier3_single
WR,Ben Skowronek PIT,tier3_single
WR,Trent Sherfield Sr. BUF,unresolved
WR,Bryce Oliver TEN,tier3_single
WR,John Metchie III CAR,unresolved
WR,Ashton Dulin IND,tier3_single
WR,Anthony Gould IND,tier3_single
WR,Tyrell Shavers BUF,tier3_single
WR,Konata Mumpfield LAR,tier3_single
WR,Xavier Smith LAR,tier3_single
WR,Nikko Remigio KC,unresolved
WR,Devin Duvernay ARI,unresolved
WR,Phillip Dorsett II LV,unresolved
WR,Laquon Treadwell IND,tier3_single
WR,Demarcus Robinson SF,unresolved
WR,Chris Godwin Jr. TB,unresolved
WR,Dante Pettis NO,unresolved
WR,Parris Campbell DAL,tier3_single
WR,David Sills V TB,unresolved
WR,Mecole Hardman Jr. BUF,tier3_single
WR,Lil'Jordan Humphrey DEN,tier3_single
WR,Alex Bachman LV,unresolved
WR,Tom Kennedy DET,tier3_single
WR,Gunner Olszewski NYG,tier3_single
WR,Brandon Aiyuk SF,unresolved
WR,Isaiah Hodgins NYG,tier3_single
WR,Mason Kinsey TEN,tier3_single
WR,K.J. Osborn TEN,unresolved
WR,Quez Watkins PHI,tier3_single
WR,Darnell Mooney NYG,unresolved
WR,Andre Baccellia ARI,tier3_single
WR,Dan Chisena CAR,tier3_single
WR,Ihmir Smith-Marsette ARI,tier3_single
WR,Seth Williams LV,unresolved
WR,Chris Blair ATL,tier3_single
WR,Treylon Burks WAS,tier3_single
WR,Beaux Collins NYG,tier3_single
WR,Malik Cunningham DET,tier3_single
WR,Ronnie Bell NO,unresolved
WR,Cornelius Johnson BAL,tier3_single
WR,Jonathan Mingo DAL,tier3_single
WR,Kevin Austin Jr. NO,unresolved
WR,Jordan Addison MIN,tier3_single
WR,Rashee Rice KC,unresolved
WR,Ainias Smith CAR,tier3_single
WR,Jalen McMillan TB,unresolved
WR,Simi Fehoko ARI,tier3_single
WR,Terrace Marshall Jr. MIA,unresolved
WR,Austin Trammell JAC,tier3_single
WR,Brandon Smith PIT,tier3_single
WR,Tim Jones JAC,tier3_single
WR,Michael Bandy DEN,tier3_single
WR,Samori Toure NO,unresolved
WR,Christian Watson GB,unresolved
WR,Xavier Weaver ARI,tier3_single
WR,Deven Thompkins ATL,tier3_single
WR,Danny Gray PHI,tier3_single
WR,Jalen Virgil BUF,unresolved
WR,Britain Covey PHI,tier3_single
WR,A.T. Perry PIT,tier3_single
WR,Dareke Young LV,unresolved
WR,Lance McCutcheon TEN,tier3_single
WR,Kendric Pryor CIN,tier3_single
WR,Dennis Houston TB,unresolved
WR,Irvin Charles NYJ,unresolved
WR,Maurice Alexander CHI,tier3_single
WR,Jacob Cowing SF,unresolved
WR,Johnny Wilson PHI,tier3_single
WR,Trey Palmer NO,unresolved
